conditionid,closingcondition,conditionfamily,conditionname,conditionpayload,configurable,consolidation,consolidationsleeptime,description,downstream,fetchdata,issnooze,priority,remediation,snooze,sourcesystem,underresearch,updatedtime
1000055,False,5,Transaction log has become corrupt - Store Dismount.,,,False,,,itsm,,False,,,,1.0,,
1000130,False,5,MS Exchange - Transaction log cannot be written to Disk because the disk is full - Mail Flow Down.,,,False,,,itsm,,False,,,,1.0,,
1003918,False,87,Windows Cluster - Cluster Shared Volume is no longer accessible from cluster node.,,,False,,,itsm,,False,,,,1.0,,
11664,False,19,RemoteApp and Desktop Connection Management- Not In Running State [Unexpected],,,False,,,itsm,,False,,,,1.0,,
1001990,False,11,SharePoint 2010 - The Usage Data Processing timer job failed,,,False,,,itsm,,False,,,,1.0,,
16800,False,22,BlackBerry MailStore Service- Not In Running State [Unexpected],,,False,,,itsm,,False,,,,1.0,,
1003645,True,4,Citrix - MetaFrame Server failed to connect to the Data Store. (Closing condition),,,False,,,itsm,,False,,,,1.0,,
1000973,False,7,MegaRAID Storage Manager - Virtual Disks missing at boot.,,,False,,,itsm,,False,,,,1.0,,
1133,False,1,Default Domain Controllers Policy Failed,,,False,,,itsm,,False,,,,1.0,,
1001274,False,7,Dell Server Monitoring - Controller battery needs reconditioning,,,False,,,itsm,,False,,,,1.0,,
1001148,False,5,Exchange Database size increases quickly due to Public folders Messages,,,False,,,itsm,,False,,,,1.0,,
10203,False,22,BlackBerry Attachment Service - Not In Running State [Unexpected],,,False,,,itsm,,False,,,,1.0,,
1001009,False,20,Volume Shadow Copy Provider missing,,,False,,,itsm,,False,,,,1.0,,
11433,False,29,StorageCraft Shadow Copy Provider- Not In Running State [Unexpected],,,False,,,itsm,,False,,,,1.0,,
1001075,False,9,Large Windows Installer package or a large Windows Installer patch Installaion rejected by digital signature policy,,,False,,,itsm,,False,,,,1.0,,
10420,False,2,AVG E-mail Scanner - Not In Running State,,,False,,,itsm,,False,,,,1.0,,
11569,False,73,VMware ESX/ESXi Host services memscrubd,,,False,,,itsm,,False,,,,1.0,,
10659,False,22,BlackBerry Policy Service Ver 5- Not In Running State [Unexpected],,,False,,,itsm,,False,,,,1.0,,
16791,False,7,DSM SA SharedServices- Not In Running State [Unexpected],,,False,,,itsm,,False,,,,1.0,,
5017,False,5,Exchange - Defragmentation Required,,,False,,,itsm,,False,,,,1.0,,
